T/F:P/F
0 0
0.25 0.011
0.5 0.022
0.75 0.033
1 0.044
1.25 0.067
1.5 0.089
1.75 0.15
2 0.22
2.25 0.34
2.5 0.46
2.75 0.58
3 0.69
3.25 0.8
3.5 0.91
3.75 0.96
4 1
4.25 0.99
4.5 0.98
4.75 0.97
5 0.96
5.25 0.94
5.5 0.91
5.75 0.89
6 0.86
6.25 0.81
6.5 0.78
6.75 0.76
7 0.73
7.25 0.69
7.5 0.66
7.75 0.63
8 0.6
8.25 0.56
8.5 0.51
8.75 0.47
9 0.43
9.25 0.39
9.5 0.37
9.75 0.36
10 0.33
10.25 0.31
10.5 0.3
10.75 0.28
11 0.27
11.25 0.26
11.5 0.24
11.75 0.22
12 0.21
12.25 0.2
12.5 0.18
12.75 0.17
13 0.15
13.25 0.13
13.5 0.12
13.75 0.12
14 0.11
14.25 0.089
14.5 0.078
14.75 0.06
15 0.044
15.25 0.038
15.5 0.033
15.75 0.022
16 0.011
16.25 0.005
16.5 0
